id,bedrooms,bathrooms,sqft,latitude,longitude,cat,dog,parking,cooling,heating,zestimate,type,laundry,price
29359578.0,4.0,2.0,2925.0,30.380506,-97.885897,1,1,2.0,Central,Forced air,2650.0,Single Family,In Unit,2700
29352008.0,3.0,2.0,1458.0,30.360445000000002,-97.950087,0,0,2.0,Other,Forced air,1900.0,Single Family,In Unit,2200
2081662209.0,3.0,1.0,1605.0,30.364065999999998,-97.653101,1,1,2.0,Central,Forced air,,Single Family,Contact manager,2700
114407122.0,3.0,2.0,1995.0,30.241574,-97.87510400000001,0,0,2.0,Central,Other,2300.0,Apartment,In Unit,2300
242020199.0,3.0,2.0,1310.0,30.236496000000002,-97.57059,0,0,2.0,Central,Forced air,1525.0,Single Family,Contact manager,1475
29442815.0,3.0,2.0,1451.0,30.417185999999997,-97.692357,0,1,2.0,Other,Forced air,1950.0,Single Family,In Unit,2100
58317147.0,4.0,2.0,1430.0,30.161325,-97.82597700000001,1,1,1.0,Central,Forced air,1650.0,Single Family,Contact manager,1695
2081981605.0,1.0,1.0,650.0,30.266276,-97.748251,1,1,,Other,Forced air,,Multi Family,In Unit,2650
2109827186.0,2.0,2.0,1000.0,30.249209999999998,-97.7615,1,1,,Other,Forced air,,Single Family,In Unit,5000
29454065.0,4.0,2.0,2174.0,30.458721,-97.687966,1,1,2.0,Other,Forced air,1825.0,Single Family,In Unit,1775
29404066.0,3.0,2.0,1568.0,30.308984000000002,-97.685969,1,1,2.0,Central,Other,2000.0,Single Family,Contact manager,1950
241936860.0,3.0,2.0,1739.0,30.422745000000003,-97.679259,0,1,1.0,Central,Forced air,1895.0,Condo,In Unit,1945
2101189767.0,1.0,1.0,712.0,30.358246,-97.796337,1,1,,Central,Forced air,1234.0,Apartment,In Unit,1075
2080815076.0,4.0,1.0,1010.0,30.280439,-97.690208,1,0,,Other,Forced air,,Apartment,In Unit,1580
2089728299.0,2.0,1.0,775.0,30.29102,-97.72738299999999,1,1,1.0,Central,Forced air,1189.0,Multi Family,Contact manager,1250
2088242228.0,3.0,2.0,,30.422459999999997,-97.7668,1,1,,Other,Forced air,1450.0,Townhouse,In Unit,1450
29428299.0,3.0,2.0,1200.0,30.364806,-97.73314599999999,1,1,2.0,Other,Forced air,1950.0,Single Family,In Unit,1950
29505038.0,4.0,3.0,3450.0,30.190775,-97.89471800000001,0,1,2.0,Other,Forced air,2700.0,Single Family,In Unit,3250
83815181.0,4.0,3.0,3321.0,30.343742,-97.915419,1,1,2.0,Central,Forced air,3200.0,Single Family,In Unit,3400
83826276.0,3.0,1.0,1346.0,30.359303999999998,-97.713617,0,0,1.0,Central,Other,1500.0,Single Family,In Unit,1450
58316680.0,3.0,2.0,1680.0,30.183006,-97.812196,1,1,2.0,Central,Forced air,1800.0,Single Family,Contact manager,1795
2080984355.0,3.0,2.0,2086.0,30.255093,-97.87908900000001,1,1,,Other,Other,,Single Family,Contact manager,2500
29495861.0,3.0,2.0,1176.0,30.214165,-97.84915600000001,0,1,1.0,Central,Forced air,1750.0,Single Family,Contact manager,1750
29475669.0,4.0,2.0,2175.0,30.246209999999998,-97.829769,1,1,2.0,Other,Forced air,2650.0,Single Family,In Unit,2800
29387582.0,3.0,1.0,1092.0,30.274590000000003,-97.7211,1,1,2.0,Central,Forced air,2395.0,Single Family,In Unit,2450
70344292.0,5.0,4.0,4193.0,30.332765000000002,-97.956375,1,1,3.0,Central,Forced air,3750.0,Single Family,Contact manager,4150
241931428.0,1.0,1.0,600.0,30.27313,-97.75435,0,0,,Other,Forced air,1905.0,Apartment,Contact manager,2000
2094665027.0,3.0,2.0,2316.0,30.357367,-97.952865,1,1,1.0,Central,Other,1900.0,Multi Family,Contact manager,2500
88018952.0,3.0,2.0,1986.0,30.461872999999997,-97.803135,1,1,2.0,Central,Forced air,1900.0,Single Family,Contact manager,1900
2083015598.0,2.0,2.0,850.0,30.294154,-97.736804,0,0,,Other,Other,1750.0,Apartment,In Unit,1875
2102575362.0,,1.0,400.0,30.304859000000004,-97.725029,1,1,,Other,Other,875.0,Multi Family,Contact manager,950
29566467.0,3.0,2.0,1537.0,30.458158,-97.812407,0,0,2.0,Other,Forced air,1650.0,Single Family,In Unit,1600
305430663.0,1.0,1.0,901.0,30.280261,-97.723157,1,1,1.0,Central,Forced air,1695.0,Condo,In Unit,1895
29437538.0,4.0,2.0,1889.0,30.397422,-97.691925,1,1,2.0,Central,Forced air,1950.0,Single Family,In Unit,2600
29437642.0,2.0,2.0,1297.0,30.412694000000002,-97.731196,1,1,2.0,Central,Forced air,1595.0,Single Family,In Unit,1750
29494113.0,3.0,2.0,1437.0,30.20055,-97.84163199999999,0,0,2.0,Central,Forced air,1700.0,Single Family,Contact manager,1850
2111811857.0,4.0,2.0,2806.0,30.36529,-97.897734,0,0,2.0,Central,Forced air,1900.0,Single Family,Contact manager,3000
145652605.0,3.0,2.0,2418.0,30.295863,-97.7011,1,1,2.0,Central,Forced air,2995.0,Townhouse,In Unit,3750
2087686821.0,2.0,1.0,800.0,30.284609000000003,-97.748547,1,1,,Central,Other,1550.0,Apartment,Shared,1495
2107016816.0,3.0,2.0,1716.0,30.336496,-97.71019799999999,1,1,1.0,Central,Forced air,1750.0,Multi Family,Contact manager,1575
2080796252.0,2.0,1.0,1020.0,30.344140000000003,-97.770033,1,1,,Other,Forced air,,Apartment,In Unit,1795
2101615414.0,3.0,2.0,1400.0,30.263022999999997,-97.807187,1,1,,Other,Forced air,2225.0,Townhouse,In Unit,2250
70354435.0,4.0,3.0,1810.0,30.367496000000003,-97.653319,1,1,1.0,Central,Forced air,1800.0,Single Family,Contact manager,1800
2080402210.0,1.0,1.0,760.0,30.303387,-97.733328,0,0,,Other,Forced air,,Apartment,Shared,1700
70330908.0,4.0,3.0,2788.0,30.209033,-97.88748100000001,0,0,1.0,Central,Other,2750.0,Single Family,Contact manager,2500
29484826.0,2.0,2.0,1739.0,,,0,1,2.0,Other,Forced air,2200.0,Single Family,Contact manager,1800
120896980.0,3.0,2.0,2101.0,30.14975,-97.74464,1,1,2.0,Central,Forced air,1795.0,Single Family,Contact manager,1800
29404936.0,3.0,1.0,1140.0,30.314903,-97.7427,1,1,1.0,Other,Forced air,1795.0,Single Family,In Unit,1700
2080398965.0,2.0,2.0,1080.0,30.230090999999998,-97.80194,1,1,,Other,Forced air,,Multi Family,In Unit,1695
64805295.0,4.0,3.0,2757.0,30.190775,-97.89471800000001,0,0,2.0,Central,Forced air,2800.0,Single Family,Contact manager,2950
2095152875.0,1.0,1.0,1200.0,30.374048,-97.734488,0,0,,Other,Forced air,1450.0,Single Family,In Unit,2700
2080461196.0,2.0,2.0,916.0,30.386889,-97.703743,1,1,,Other,Forced air,,Townhouse,In Unit,1850
58312810.0,4.0,2.0,2123.0,30.219942,-97.794859,1,1,2.0,Other,Forced air,2300.0,Single Family,In Unit,4450
29348833.0,5.0,3.0,3656.0,30.350119,-97.980791,1,1,2.0,Central,Forced air,3450.0,Single Family,Contact manager,3295
2081482893.0,1.0,1.0,400.0,30.354708000000002,-97.73530799999999,1,1,,Other,Forced air,,Apartment,Shared,999
2080407485.0,,1.0,,30.29365,-97.716806,1,1,,Other,Forced air,,Apartment,Shared,1600
2080309408.0,1.0,1.0,,30.441947,-97.670516,0,0,,Other,Other,,Apartment,Contact manager,1023
64801591.0,3.0,2.0,2554.0,30.171431,-97.838303,1,1,1.0,Other,Forced air,1995.0,Single Family,Contact manager,2150
2080711557.0,1.0,1.0,846.0,30.301826000000002,-97.708519,1,1,,Other,Forced air,,Condo,In Unit,1385
2132721262.0,2.0,2.0,2104.0,,,1,1,2.0,Central,Forced air,1600.0,Multi Family,Contact manager,1595
2132468164.0,1.0,1.0,400.0,30.32828,-97.732709,1,1,,Other,Forced air,1050.0,Apartment,Shared,950
2109996930.0,2.0,1.0,1417.0,30.300365999999997,-97.78993100000001,1,1,2.0,Central,Forced air,2300.0,Townhouse,In Unit,2995
29408151.0,3.0,2.0,1400.0,30.315013,-97.683424,1,1,2.0,Other,Forced air,1850.0,Single Family,In Unit,2495
2085831512.0,2.0,2.0,1072.0,30.344140000000003,-97.770033,1,1,,Other,Forced air,,Apartment,In Unit,1640
29331645.0,4.0,3.0,2584.0,30.284433,-97.76886999999999,0,0,2.0,Central,Forced air,6000.0,Single Family,In Unit,6900
83125445.0,3.0,2.0,1544.0,30.298229,-97.701408,1,1,2.0,Other,Forced air,2850.0,Single Family,In Unit,3700
29461015.0,5.0,3.0,2375.0,30.236072999999998,-97.74929300000001,1,1,1.0,Central,Forced air,2600.0,Single Family,In Unit,7000
249912824.0,3.0,2.0,1704.0,30.354582,-97.64271600000001,1,1,2.0,Other,Forced air,1750.0,Single Family,In Unit,1750
2080906854.0,3.0,2.0,3127.0,30.186869,-97.89096500000001,0,0,,Other,Forced air,,Single Family,In Unit,2600
29341680.0,2.0,1.0,1152.0,,,1,1,2.0,Other,Forced air,1800.0,Single Family,In Unit,1795
2080274572.0,3.0,2.0,2003.0,30.447351,-97.671003,1,0,2.0,Central,Other,,Condo,Contact manager,1750
2080518629.0,3.0,2.0,1353.0,,,1,1,,Other,Forced air,,Single Family,Contact manager,1800
29448010.0,4.0,2.0,1946.0,30.436759999999996,-97.678465,1,1,2.0,Central,Forced air,1795.0,Single Family,Contact manager,1999
2098172406.0,2.0,1.0,1150.0,,,1,1,1.0,Other,Forced air,1700.0,Apartment,In Unit,1600
