"555 E 5th St APT 3006, Austin, TX 78701","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"360 Nueces St APT 1901, Austin, TX 78701","{'/showPropertyInfo.do?account=01070025080000', '/showPropertyInfo.do?account=01070025110000', '/showPropertyInfo.do?account=01070025050000', '/showPropertyInfo.do?account=01070025100000', '/showPropertyInfo.do?account=01070025090000', '/showPropertyInfo.do?account=01070025030000', '/showPropertyInfo.do?account=01070025020000', '/showPropertyInfo.do?account=01070025040000', '/showPropertyInfo.do?account=01070025070000', '/showPropertyInfo.do?account=01070025060000'}"
"360 Nueces St APT 2710, Austin, TX 78701","{'/showPropertyInfo.do?account=01070025080000', '/showPropertyInfo.do?account=01070025110000', '/showPropertyInfo.do?account=01070025050000', '/showPropertyInfo.do?account=01070025100000', '/showPropertyInfo.do?account=01070025090000', '/showPropertyInfo.do?account=01070025030000', '/showPropertyInfo.do?account=01070025020000', '/showPropertyInfo.do?account=01070025040000', '/showPropertyInfo.do?account=01070025070000', '/showPropertyInfo.do?account=01070025060000'}"
"1122 Colorado St APT 2007, Austin, TX 78701","{'/showPropertyInfo.do?account=02080119060014', '/showPropertyInfo.do?account=02080119060000', '/showPropertyInfo.do?account=02080119060005', '/showPropertyInfo.do?account=02080119060007', '/showPropertyInfo.do?account=02080119060006', '/showPropertyInfo.do?account=02080119060001', '/showPropertyInfo.do?account=02080119060015', '/showPropertyInfo.do?account=02080119060004', '/showPropertyInfo.do?account=02080119060008', '/showPropertyInfo.do?account=02080119060003'}"
"200 Congress Ave # 52CD, Austin, TX","{'/showPropertyInfo.do?account=04050305100220', '/showPropertyInfo.do?account=04050305100222', '/showPropertyInfo.do?account=04050305100225', '/showPropertyInfo.do?account=04050305100227', '/showPropertyInfo.do?account=04050305100224', '/showPropertyInfo.do?account=04050305100229', '/showPropertyInfo.do?account=04050305100216', '/showPropertyInfo.do?account=04050305100206', '/showPropertyInfo.do?account=04050305100228', '/showPropertyInfo.do?account=04050305100203'}"
"98 San Jacinto Blvd # 2304, Austin, TX 78701","{'/showPropertyInfo.do?account=02050220030000', '/showPropertyInfo.do?account=02599001020201', '/showPropertyInfo.do?account=02050208110000', '/showPropertyInfo.do?account=02050208130000', '/showPropertyInfo.do?account=02050220060000', '/showPropertyInfo.do?account=03392104180237', '/showPropertyInfo.do?account=02050220040000', '/showPropertyInfo.do?account=03392104170225', '/showPropertyInfo.do?account=03392104180238', '/showPropertyInfo.do?account=03392104180235'}"
"222 West Ave UNIT 1306, Austin, TX 78701","{'/showPropertyInfo.do?account=01050012050002', '/showPropertyInfo.do?account=01050012030001', '/showPropertyInfo.do?account=01050012020000', '/showPropertyInfo.do?account=01050012060000', '/showPropertyInfo.do?account=01050012080000', '/showPropertyInfo.do?account=01050012030000', '/showPropertyInfo.do?account=01050013020000', '/showPropertyInfo.do?account=01050012050000', '/showPropertyInfo.do?account=01050012050001', '/showPropertyInfo.do?account=01050013010000'}"
"54JP Plan, The Austonian","set()"
"40 N Interstate Highway 35 APT 6D1, Austin, TX 78701","{'/showPropertyInfo.do?account=90534400000000', '/showPropertyInfo.do?account=03242001150202', '/showPropertyInfo.do?account=05176703420201', '/showPropertyInfo.do?account=05175701070201'}"
"44 East Ave # 4504, Austin, TX 78701","{'/showPropertyInfo.do?account=99101060000000', '/showPropertyInfo.do?account=98266760000000', '/showPropertyInfo.do?account=99101070000000', '/showPropertyInfo.do?account=98266770000000', '/showPropertyInfo.do?account=02030309300000', '/showPropertyInfo.do?account=99034450000000', '/showPropertyInfo.do?account=90143510000000'}"
"48 East Ave # 2705, Austin, TX 78701","{'/showPropertyInfo.do?account=91243240000000', '/showPropertyInfo.do?account=99034430000000', '/showPropertyInfo.do?account=99034490000000', '/showPropertyInfo.do?account=98507160000000', '/showPropertyInfo.do?account=91032710000000', '/showPropertyInfo.do?account=99034480000000', '/showPropertyInfo.do?account=02030309310000', '/showPropertyInfo.do?account=90598600000000', '/showPropertyInfo.do?account=90453600000000'}"
"2005 Pennsylvania Ave # B, Austin, TX 78702","{'/showPropertyInfo.do?account=02080934020000', '/showPropertyInfo.do?account=02080934030000'}"
"2712 Oak Springs Dr # B, Austin, TX 78702","{'/showPropertyInfo.do?account=01180113050000', '/showPropertyInfo.do?account=01477002020201', '/showPropertyInfo.do?account=02091406220000'}"
"1615 E. 7th St #205, Austin, TX 78702","set()"
"72 San Saba St, Austin, TX 78702","{'/showPropertyInfo.do?account=02001001170000', '/showPropertyInfo.do?account=02599001020201', '/showPropertyInfo.do?account=03392104180237', '/showPropertyInfo.do?account=03392104170225', '/showPropertyInfo.do?account=03392104180238', '/showPropertyInfo.do?account=03392104180235'}"
"745 Gunter St # 1, Austin, TX 78702","{'/showPropertyInfo.do?account=02041403250000'}"
"1208 Chestnut Ave, Austin, TX 78702","{'/showPropertyInfo.do?account=02081102040000'}"
"3407 Kay St, Austin, TX 78702","{'/showPropertyInfo.do?account=02071603160000'}"
"3017 E 14th St, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"2235 E 6th St APT 307, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"303 Navasota St, Austin, TX 78702","{'/showPropertyInfo.do?account=02040613120000'}"
"4611 Bolm Rd, Austin, TX","set()"
"205 Adam L Chapa Sr St, Austin, TX 78702","{'/showPropertyInfo.do?account=02030905120000'}"
"1204 Olander St, Austin, TX 78702","{'/showPropertyInfo.do?account=02080601080000'}"
"1904 E 16th St # B, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"2211 Santa Rita St, Austin, TX 78702","{'/showPropertyInfo.do?account=02021003060000', '/showPropertyInfo.do?account=02021005060000', '/showPropertyInfo.do?account=02021004060000'}"
"2812 Oak Springs Dr # 1, Austin, TX 78702","{'/showPropertyInfo.do?account=01419201070000', '/showPropertyInfo.do?account=02091406590000', '/showPropertyInfo.do?account=01477002020201'}"
"800 Embassy Dr APT 235, Austin, TX 78702","{'/showPropertyInfo.do?account=02060515080000', '/showPropertyInfo.do?account=02060515030000', '/showPropertyInfo.do?account=02060515050000', '/showPropertyInfo.do?account=02060515120000', '/showPropertyInfo.do?account=02060515110000', '/showPropertyInfo.do?account=02060515100000', '/showPropertyInfo.do?account=02060515090000', '/showPropertyInfo.do?account=02060515070000', '/showPropertyInfo.do?account=02060515040000', '/showPropertyInfo.do?account=02060515060000'}"
"2921 E 14th St, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"1800 E 4th St UNIT 323, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"2009 New York Ave # A, Austin, TX 78702","{'/showPropertyInfo.do?account=02080927030000', '/showPropertyInfo.do?account=02080927020000'}"
"2304 E 13th St # 2, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"1182 Ridgeway Dr # A, Austin, TX 78702","{'/showPropertyInfo.do?account=02091422020000', '/showPropertyInfo.do?account=02091422030000'}"
"1145 1/2 Poquito St # B, Austin, TX 78702","set()"
"1122 Chicon St, Austin, TX 78702","{'/showPropertyInfo.do?account=02060908220000'}"
"1502 Willow St, Austin, TX 78702","{'/showPropertyInfo.do?account=02020513140000'}"
"2320 Webberville Rd, Austin, TX 78702","{'/showPropertyInfo.do?account=02051017110000'}"
"2716 E 2nd St, Austin, TX 78702","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"1308 Navasota St, Austin, TX 78702","{'/showPropertyInfo.do?account=02090608210000'}"
"2941 E 14th St # 2, Austin, TX","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"2105 Pennsylvania Ave # 2, Austin, TX","{'/showPropertyInfo.do?account=02081112020000'}"
"2323 Santa Rosa St, Austin, TX 78702","{'/showPropertyInfo.do?account=02021009120000', '/showPropertyInfo.do?account=02021008110000'}"
"1181 Poquito St, Austin, TX 78702","{'/showPropertyInfo.do?account=02080914080000'}"
"1610 Haskell St # B, Austin, TX 78702","{'/showPropertyInfo.do?account=02010608020000', '/showPropertyInfo.do?account=02010608030000'}"
"1121 Prospect Ave, Austin, TX 78702","{'/showPropertyInfo.do?account=02061009030000'}"
